2-gram,*/1:2
TH,82191954206
OF,32360430348
AN,29085241508
IN,27799770674
TO,22226470501
CO,17720707392
RE,13676064272
BE,13192202949
FO,11149689634
PR,10477241957
WH,10430616004
HA,9900759288
MA,9641091920
WI,9260197748
HE,9112438473
IS,9031299344
NO,9025663599
WA,8852313882
ON,8364400586
DE,8183007142
ST,7859239625
SE,7674775084
AS,7620135116
IT,7555018907
CA,7339016324
HI,6832412743
SO,6576226290
WE,6571607236
AR,6424875618
DI,6424023212
MO,6253154612
AL,6003034247
SU,5807926161
PA,5652090837
FR,5621876735
ME,5325149689
OR,5312508408
SH,5200314231
LI,5085286521
CH,4942607276
WO,4863781188
PO,4799579109
EX,4765671650
BY,4748221678
AT,4632096352
FI,4499526605
PE,4376595932
BU,4360852264
LA,4289223460
NE,4170065476
UN,4070503465
LE,4043542193
SA,3995420031
TR,3908650599
HO,3863829003
YO,3844649484
LO,3819328277
DO,3742193239
FA,3740840884
SI,3712923585
GR,3387063486
EN,3379510331
AC,3366641162
MI,3243364651
TE,3205516541
BO,2982830352
BA,2920173812
GO,2913476948
SP,2795524191
OU,2564517637
PL,2398706788
EV,2392475327
AB,2385772257
TA,2358252071
RA,2338918757
US,2326777176
BR,2321215978
CL,2303821857
DA,2267991812
GE,2230187113
TI,2147768486
FE,2145874401
AD,2142735786
MU,2136649758
IM,2096179943
AP,2084578154
RO,2039254483
NA,2023968235
SC,1939213511
PU,1932934252
EA,1883649717
CR,1873080749
VI,1858771673
CE,1787953760
OT,1786504716
AM,1775304516
AG,1773675373
UP,1750039244
RI,1674573752
VE,1640092150
VA,1613137092
QU,1598696806
IF,1570715890
AF,1519444047
YE,1511074911
FU,1505084482
JU,1381389518
OP,1374677378
TW,1349908811
MY,1319032489
DR,1307706120
CU,1278128873
EL,1233732784
KN,1231649714
DU,1196361209
GI,1189741300
GA,1160311003
OB,1143990667
JO,1115075857
BI,1099641443
EM,1097951222
FL,1096925901
HU,1090915313
OV,1072003806
CI,1069842264
PH,1060473332
SY,1056294122
ES,1051204378
BL,1035693565
AU,1004108853
RU,970905512
KI,956081443
PI,908065459
NU,894421176
ED,849587935
VO,827793681
WR,800161510
EF,796366904
SM,750903135
TU,732031871
OW,717442550
SL,686637092
ID,678999306
OC,669501193
JA,640482829
KE,635247656
GU,608287374
NI,606826479
OL,538119802
GL,523305878
EQ,516191562
AV,516056080
EC,513298050
AI,482699523
ET,473953203
JE,469926275
TY,459405573
EI,445202640
AW,442975682
SW,410049091
IR,383537367
IL,363028566
SK,342493709
LU,325523279
ER,324230831
II,317207507
EY,284712862
EU,281835532
HY,279987202
PS,241868307
KA,200395463
UR,199604930
UT,181967532
CY,167389237
EP,161847304
SQ,149649891
OX,139430351
DY,137503800
SN,134284730
EG,133007943
LY,121360771
OI,116017226
YA,114017843
UL,112407162
MC,108321849
RH,105057621
ZE,105044562
IG,100644932
KO,98333934
OH,96850139
IV,93640437
IB,92669701
IC,92018229
OS,86441517
IO,83433285
YI,81521116
ZO,80235070
AH,69936437
AX,69928920
OD,66384504
OM,66066571
XI,65878777
MR,64834484
AE,61971676
OA,57464857
MM,55181203
XX,54846916
DW,51888813
JI,50130522
CM,49529942
KU,43399549
GH,42149385
ZI,41899795
LL,39688985
PY,37742910
OK,37283988
KR,36697497
MS,35318758
XV,34775797
CF,34579806
ZU,33605620
VU,33500602
ML,32706905
MG,31986881
DN,31250086
KH,30517272
YU,29077384
AQ,28461835
NY,26625189
LT,26232251
UK,25490391
CD,25373072
ZA,25351579
UM,25021148
FT,24220873
KL,23962276
PP,23938644
LN,23912206
GY,23226788
DC,22562910
TV,22396425
TS,22151572
IP,22119259
CT,21883004
AA,21461108
PC,21301623
PT,20990662
RS,20970736
CP,20327375
SS,19817584
IX,19538338
EE,19162008
FF,18770024
KM,18703225
IA,18485534
UG,18481682
OE,18480551
SR,18195788
AK,17813407
CC,17784935
CZ,17576991
AY,17345361
KG,17048577
AZ,16530510
RY,16173913
IE,15839615
PN,15719853
WY,15572012
EB,15149954
GN,15149258
OO,14976862
BH,14777709
AO,14436057
CS,14392889
NM,13891747
NG,13783981
LB,13346655
MP,13243927
MT,13183724
HR,13171866
RN,13136523
BC,12360566
IH,12300416
TC,12203901
HS,11464935
EO,11322636
TL,11306774
GD,11144077
PM,11110307
NS,10941143
EJ,10924168
TN,10884760
WU,10867130
ZH,10682193
HT,10586362
OG,10537984
GM,10442890
NT,10413631
TB,10309143
DH,10222140
MD,10217153
CB,9955106
OZ,9937696
SD,9774558
CN,9421467
KY,9216407
FD,9193424
LS,9166363
XL,9143370
DS,9088642
PD,9059191
DB,9025644
NP,8786924
RP,8676436
MN,8598425
NC,8535925
DL,8500304
FC,8304641
LX,8225350
RT,8096659
DM,7942842
HM,7937823
EH,7727014
SV,7686365
MB,7664859
NJ,7614450
UB,7422486
EW,7408543
LD,7397176
VL,7374909
XE,7283680
ND,7236446
TT,7230942
RD,7114661
GP,7035249
EZ,7021267
RC,7019628
RF,6897159
NR,6877880
BP,6733757
OY,6654801
BB,6650106
KW,6615058
IU,6602440
FB,6591558
VS,6549033
WT,6455701
PF,6390484
LC,6388289
MH,6295141
HC,6271511
DT,6102149
WM,6078211
PB,6026580
LF,6018687
HP,5961270
DD,5925203
AJ,5879585
UC,5875633
RM,5665696
TM,5663510
JR,5549278
BS,5503349
UD,5484504
XM,5298517
UV,5248522
DP,5232301
IK,5182217
FM,5168988
FS,5109914
BM,5092649
NB,5018674
PV,4901191
IQ,4840057
GW,4801917
ZW,4743402
LH,4693967
BD,4649423
DF,4631589
BV,4620660
BT,4568837
SF,4567639
NL,4520130
SB,4476233
LP,4471006
QI,4465894
WW,4464739
NH,4463560
CV,4364535
YR,4343546
GS,4337017
DV,4319913
HZ,4310709
OJ,4175902
UH,4146633
PG,4128239
XY,4109912
VC,4049565
TP,4007007
QA,3946147
NF,3877360
LV,3835535
VP,3835281
GC,3788581
HL,3763884
RB,3751984
RR,3723630
NN,3717003
MV,3678047
HB,3647744
VR,3631882
HG,3614292
CG,3583734
RL,3555655
KB,3550212
RG,3543654
IZ,3537263
LM,3506323
CW,3432762
HD,3399065
JP,3398589
BN,3352137
WC,3311271
MF,3309261
TD,3292332
UA,3174087
TX,3155791
PK,3128071
KC,3116690
UI,3110948
JC,3098846
TF,3085477
JS,3084967
UF,3072746
BJ,3053941
JN,3028541
XA,3025424
RW,3020876
LR,3011622
MW,2999418
WL,2999363
DJ,2984054
SG,2951550
EK,2948771
UE,2937608
NW,2932397
JH,2932074
VT,2919653
KS,2872608
JM,2781428
RJ,2709000
NK,2692863
JL,2689697
WS,2688630
VN,2630679
GT,2591306
ZN,2583491
YV,2572276
JT,2527435
FP,2514749
FN,2479222
VH,2476899
FY,2430848
TJ,2412807
FH,2396475
KD,2372377
TZ,2368435
RV,2307198
SZ,2299945
SJ,2299350
JF,2293417
VM,2289682
JJ,2254647
TG,2242033
MJ,2231781
XP,2214219
HW,2206974
KP,2196999
VY,2178522
JD,2174319
BK,2130785
IW,2071395
FJ,2065436
LJ,2064198
VB,2061923
HF,2060797
ZY,2021329
KV,1996097
WP,1961563
CJ,1958748
WB,1945697
KJ,1942327
UZ,1939475
GB,1936804
MK,1843588
PJ,1838634
XU,1811603
PW,1783827
IJ,1766367
JB,1649860
VD,1620222
WD,1617747
GF,1609214
KT,1582388
DG,1551641
QR,1542968
TK,1518294
LG,1471825
VV,1428635
XC,1387322
QT,1385505
XT,1371647
HH,1369711
YT,1353977
